name,steering,speed,category
1,1488,1520,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1484,1512,0
1,1492,1516,0
1,1488,1516,0
1,1492,1516,0
1,1492,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1492,1520,0
1,1492,1520,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1492,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1488,1516,0
1,1492,1520,0
1,1488,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1492,1520,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1520,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1520,0
1,1492,1516,0
1,1492,1516,0
1,1484,1512,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1516,0
1,1492,1520,0
1,1488,1520,0
1,1492,1520,0
1,1492,1516,0
1,1492,1516,0
1,1488,1516,0
1,1492,1520,0
1,1492,1516,0
1,1492,1516,0
1,1492,1520,0
1,1488,1520,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1492,1520,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1492,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1516,0
1,1492,1516,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1520,0
1,1488,1516,0
1,1492,1516,0
1,1488,1516,0
1,1488,1520,0
1,1488,1520,0
1,1492,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
1,1488,1520,0
1,1488,1516,0
1,1488,1520,0
1,1492,1516,0
1,1492,1520,0
1,1492,1516,0
1,1488,1520,0
1,1492,1516,0
1,1488,1520,0
